career_title,source,selection,esco_id,isco_group,isco_group_name,essential_skills,optional_skills,has_skill_data,alt_labels,description
ICT security administrator,esco,core_ict,key_15218,2529,Database and network professionals not elsewhere classified,21,33,yes,system security administrator; information security administrator; network security administrator; ICT security administrator; ICT security administrators; IT security administrator; CISO,"ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption."
ICT security engineer,esco,core_ict,key_15320,2529,Database and network professionals not elsewhere classified,36,42,yes,IT security expert; IT security consultant; ICT security consultant; information communications technology security consultant; ICT security architect; consultant in ICT security activities; IT security advisor; ICT security advisor,"ICT security engineers advise and implement solutions to control access to data and programs and ensure the protection of the organization's mission and business processes. ICT security engineers are the gatekeepers of information within an organization or product by being responsible for the protection and security of the related systems. They are in charge of the network and systems in a security capacity and design, plan and execute the system's security architecture, including reference models, segment and solution architectures, and security policies and procedures. They update and upgrade the security systems in response to security-related incidents. ICT security engineers collaborate with the security team to identify, validate, and levy requirements and to participate in target selection, validation, synchronization and execution of cyber actions. They collaborate with other planners, operators and or analysts to provide post-event analysis."
ICT security manager,esco,core_ict,key_16625,2529,Database and network professionals not elsewhere classified,21,41,yes,ICT security manager; ICT security chief; ICT technical security expert; IT security manager; information security manager; security coordinator; IT security chief,"ICT security managers propose and implement necessary security updates. They advise, support, inform and provide training and security awareness and take direct action on all or part of a network or system."
chief ICT security officer,esco,core_ict,key_15651,2529,Database and network professionals not elsewhere classified,29,35,yes,head of IT security; chief ICT security officers; chief information security officer; chief ICT security officer; CISO; information security and data protection officer; information security administrator; head IT security officer,"Chief ICT security officers protect company and employee information against unauthorized access. They also define the Information System security policy, manage security deployment across all Information Systems and ensure the provision of information availability."
digital forensics expert,esco,core_ict,key_15313,2529,Database and network professionals not elsewhere classified,23,38,yes,ICT forensics expert; information forensics expert; computer forensics expert; computer forensics investigator; digital forensics analyst; digital forensics expert; cyber forensics expert; digital forensics specialist,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information."
embedded systems security engineer,esco,core_ict,key_15512,2529,Database and network professionals not elsewhere classified,29,8,yes,internet of thing security engineer; cyber security engineer; IoT security engineer; cybersecurity engineer,"Embedded systems security engineers advise and implement solutions to control access to data and programs in embedded and connected systems. They help ensuring the safe operation of products with embedded systems and connected devices by being responsible for the protection and security of the related systems and design, plan and execute security measures accordingly. Embedded systems security engineers help to keep attackers at bay by implementing safeguards that prevent intrusions and breaches."
ethical hacker,esco,core_ict,key_16614,2529,Database and network professionals not elsewhere classified,19,41,yes,cybersecurity specialist; system security tester; penetration tester; vulnerability analyst; ICT security tester; ethical hacker; network security tester,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses."
knowledge engineer,esco,core_ict,key_16744,2529,Database and network professionals not elsewhere classified,23,64,yes,knowledge engineer; knowledge officer; information engineer; linked data engineer; taxonomist; knowledge engineers,"Knowledge engineers integrate structured knowledge into computer systems (knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods. They are also responsible for eliciting or extracting knowledge from information sources, maintaining this knowledge, and making it available to the organisation or users. To achieve this, they are aware of knowledge representation and maintenance techniques (rules, frames, semantic nets, ontologies) and use knowledge extraction techniques and tools. They can design and build expert or artificial intelligence systems that use this knowledge."
data warehouse designer,esco,core_ict,key_15421,2521,Database designers and administrators,28,80,yes,data warehouse designer; data warehouse architect; data warehouse developer,"Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design."
database administrator,esco,core_ict,key_16880,2521,Database designers and administrators,27,39,yes,database manager; database administrators; database administrator; data administrator; data manager; database configurator; DBA; data base administrator,"Database administrators test, implement and administer computer databases. They use their expertise in database management systems to plan, coordinate and implement security measures to safeguard computer databases. They also use scripts and configuration files to tailor a database to users' needs."
