career_title,skill_id,skill_name,relation_type
integration engineer,lean-project-management,Lean project management,optional
integration engineer,cobol,COBOL,optional
integration engineer,pascal-computer-programming,Pascal (computer programming),optional
integration engineer,abap,ABAP,optional
integration engineer,jenkins-tools-for-software-configuration-management,Jenkins (tools for software configuration management),optional
integration engineer,scala,Scala,optional
integration engineer,use-an-application-specific-interface,use an application-specific interface,optional
integration engineer,communicate-with-customers,communicate with customers,optional
integration engineer,utilise-computer-aided-software-engineering-tools,utilise computer-aided software engineering tools,optional
integration engineer,design-computer-network,design computer network,optional
integration engineer,adapt-to-changing-situations,adapt to changing situations,optional
integration engineer,use-back-up-and-recovery-tools,use back-up and recovery tools,optional
integration engineer,implement-anti-virus-software,implement anti-virus software,optional
integration engineer,perform-project-management,perform project management,optional
integration engineer,implement-a-firewall,implement a firewall,optional
search engine optimisation expert,keywords-in-digital-content,keywords in digital content,essential
search engine optimisation expert,web-analytics,web analytics,essential
search engine optimisation expert,social-media-marketing-techniques,social media marketing techniques,essential
search engine optimisation expert,content-marketing-strategy,content marketing strategy,essential
search engine optimisation expert,perform-online-data-analysis,perform online data analysis,essential
search engine optimisation expert,apply-social-media-marketing,apply social media marketing,essential
search engine optimisation expert,use-customer-relationship-management-software,use customer relationship management software,essential
search engine optimisation expert,conduct-search-engine-optimisation,conduct search engine optimisation,essential
search engine optimisation expert,manage-content-development-projects,manage content development projects,essential
search engine optimisation expert,provide-written-content,provide written content,essential
search engine optimisation expert,integrate-content-into-output-media,integrate content into output media,essential
search engine optimisation expert,enhance-website-visibility,enhance website visibility,essential
search engine optimisation expert,behavioural-science,behavioural science,optional
search engine optimisation expert,digital-marketing-techniques,digital marketing techniques,optional
search engine optimisation expert,mobile-marketing,mobile marketing,optional
search engine optimisation expert,translate-requirements-into-visual-design,translate requirements into visual design,optional
search engine optimisation expert,execute-email-marketing,execute email marketing,optional
search engine optimisation expert,use-different-communication-channels,use different communication channels,optional
search engine optimisation expert,provide-cost-benefit-analysis-reports,provide cost benefit analysis reports,optional
search engine optimisation expert,use-content-management-system-software,use content management system software,optional
search engine optimisation expert,study-website-behaviour-patterns,study website behaviour patterns,optional
search engine optimisation expert,plan-digital-marketing,plan digital marketing,optional
search engine optimisation expert,identify-ict-user-needs,identify ICT user needs,optional
search engine optimisation expert,create-content-title,create content title,optional
search engine optimisation expert,perform-market-research,perform market research,optional
ICT test analyst,levels-of-software-testing,levels of software testing,essential
ICT test analyst,set-quality-assurance-objectives,set quality assurance objectives,essential
ICT test analyst,report-test-findings,report test findings,essential
ICT test analyst,plan-software-testing,plan software testing,essential
ICT test analyst,develop-ict-test-suite,develop ICT test suite,essential
ICT test analyst,provide-software-testing-documentation,provide software testing documentation,essential
ICT test analyst,execute-software-tests,execute software tests,essential
ICT test analyst,address-problems-critically,address problems critically,essential
ICT test analyst,replicate-customer-software-issues,replicate customer software issues,essential
ICT test analyst,agile-project-management,Agile project management,optional
ICT test analyst,mdx,MDX,optional
ICT test analyst,visual-presentation-techniques,visual presentation techniques,optional
ICT test analyst,decision-support-systems,decision support systems,optional
ICT test analyst,xquery,XQuery,optional
ICT test analyst,sparql,SPARQL,optional
ICT test analyst,ict-debugging-tools,ICT debugging tools,optional
ICT test analyst,tools-for-ict-test-automation,tools for ICT test automation,optional
ICT test analyst,resource-description-framework-query-language,resource description framework query language,optional
ICT test analyst,query-languages,query languages,optional
ICT test analyst,ldap,LDAP,optional
ICT test analyst,ict-project-management-methodologies,ICT project management methodologies,optional
ICT test analyst,linq,LINQ,optional
ICT test analyst,process-based-management,Process-based management,optional
ICT test analyst,lean-project-management,Lean project management,optional
ICT test analyst,ict-performance-analysis-methods,ICT performance analysis methods,optional
ICT test analyst,n1ql,N1QL,optional
ICT test analyst,manage-schedule-of-tasks,manage schedule of tasks,optional
ICT test analyst,debug-software,debug software,optional
ICT test analyst,apply-statistical-analysis-techniques,apply statistical analysis techniques,optional
ICT test analyst,use-scripting-programming,use scripting programming,optional
ICT test analyst,develop-automated-software-tests,develop automated software tests,optional
ICT test analyst,conduct-ict-code-review,conduct ICT code review,optional
ICT test analyst,measure-software-usability,measure software usability,optional
ICT test analyst,give-live-presentation,give live presentation,optional
ICT test analyst,perform-quality-audits,perform quality audits,optional
ICT test analyst,perform-software-recovery-testing,perform software recovery testing,optional
digital forensics expert,computer-forensics,computer forensics,essential
digital forensics expert,ict-network-security-risks,ICT network security risks,essential
digital forensics expert,ict-security-standards,ICT security standards,essential
digital forensics expert,cyber-attack-counter-measures,cyber attack counter-measures,essential
digital forensics expert,resource-description-framework-query-language,resource description framework query language,essential
digital forensics expert,query-languages,query languages,essential
digital forensics expert,information-confidentiality,information confidentiality,essential
digital forensics expert,penetration-testing-tool,penetration testing tool,essential
digital forensics expert,manage-it-security-compliances,manage IT security compliances,essential
